8760	0	0	0	
8761.37	-1.#IND	-1.#IND	-1.#IND	
8761.37	-1.#IND	-1.#IND	-1.#IND	
8761.38	-1.#IND	-1.#IND	-1.#IND	
8761.39	-1.#IND	-1.#IND	-1.#IND	
8761.39	-1.#IND	-1.#IND	-1.#IND	
8761.4	-1.#IND	-1.#IND	-1.#IND	
8761.41	-1.#IND	-1.#IND	-1.#IND	
8761.41	-1.#IND	-1.#IND	-1.#IND	
8761.42	-1.#IND	-1.#IND	-1.#IND	
8761.43	-1.#IND	-1.#IND	-1.#IND	
8761.43	-1.#IND	-1.#IND	-1.#IND	
8761.44	-1.#IND	-1.#IND	-1.#IND	
8761.45	-1.#IND	-1.#IND	-1.#IND	
8761.45	-1.#IND	-1.#IND	-1.#IND	
8761.46	-1.#IND	-1.#IND	-1.#IND	
8761.47	-1.#IND	-1.#IND	-1.#IND	
8761.47	-1.#IND	-1.#IND	-1.#IND	
8761.48	-1.#IND	-1.#IND	-1.#IND	
8761.49	-1.#IND	-1.#IND	-1.#IND	
8761.49	-1.#IND	-1.#IND	-1.#IND	
8761.5	-1.#IND	-1.#IND	-1.#IND	
8761.51	-1.#IND	-1.#IND	-1.#IND	
8761.51	-1.#IND	-1.#IND	-1.#IND	
8761.52	-1.#IND	-1.#IND	-1.#IND	
8761.53	-1.#IND	-1.#IND	-1.#IND	
8761.53	-1.#IND	-1.#IND	-1.#IND	
8761.54	-1.#IND	-1.#IND	-1.#IND	
8761.55	-1.#IND	-1.#IND	-1.#IND	
8761.55	-1.#IND	-1.#IND	-1.#IND	
8761.56	-1.#IND	-1.#IND	-1.#IND	
8761.57	-1.#IND	-1.#IND	-1.#IND	
8761.57	-1.#IND	-1.#IND	-1.#IND	
8761.58	-1.#IND	-1.#IND	-1.#IND	
8761.59	-1.#IND	-1.#IND	-1.#IND	
8761.59	-1.#IND	-1.#IND	-1.#IND	
8761.6	-1.#IND	-1.#IND	-1.#IND	
8761.61	-1.#IND	-1.#IND	-1.#IND	
8761.61	-1.#IND	-1.#IND	-1.#IND	
8761.62	-1.#IND	-1.#IND	-1.#IND	
8761.63	-1.#IND	-1.#IND	-1.#IND	
8761.63	-1.#IND	-1.#IND	-1.#IND	
8761.64	-1.#IND	-1.#IND	-1.#IND	
8761.65	-1.#IND	-1.#IND	-1.#IND	
8761.65	-1.#IND	-1.#IND	-1.#IND	
8761.66	-1.#IND	-1.#IND	-1.#IND	
8761.67	-1.#IND	-1.#IND	-1.#IND	
8761.67	-1.#IND	-1.#IND	-1.#IND	
8761.68	-1.#IND	-1.#IND	-1.#IND	
8761.69	-1.#IND	-1.#IND	-1.#IND	
8761.69	-1.#IND	-1.#IND	-1.#IND	
8761.7	-1.#IND	-1.#IND	-1.#IND	
8761.71	-1.#IND	-1.#IND	-1.#IND	
8761.71	-1.#IND	-1.#IND	-1.#IND	
8761.72	-1.#IND	-1.#IND	-1.#IND	
8761.73	-1.#IND	-1.#IND	-1.#IND	
8761.73	-1.#IND	-1.#IND	-1.#IND	
8761.74	-1.#IND	-1.#IND	-1.#IND	
8761.75	-1.#IND	-1.#IND	-1.#IND	
